statement_clean,justification_clean,label_num,label_tf
92 percent jobs lost barack obamas first term belonged women,fiorina said 92 percent jobs lost obamas first term belonged women january 2013 jobs numbers dont back number women jobs increased 416 000 obamas first term,1,0
says president barack obama delivered 2 billion brazil help offshore drilling projects,jolly said republican vote creating house panel investigate planned parenthood reason voted said house already three investigations planned parenthoods alleged sale fetal tissue jolly made clear time favor spending taxpayer dollars investigate something already microscope,0,0
george allens us senate candidacy,one medicares two trust funds track longer fully cover certain benefits entire program facing extinction even trust fund exhausted 2024 tax revenues would still cover 60 percent projected costs decades follow second trust fund remain financially sound indefinitely,1,0
nothing done mean 25 million spent dont gun ownership database,starting 2015 reputable projections show revenue rising 19 1 percent gdp average 17 9 last four decades fact nation collected 19 1 percent gdp seven years last 40 say nation collect revenue raw dollars 2013 according tax experts meaningless,0,0
say teachers make averagein new jersey 60 000 dollars yearthey work 180 days,speech last month students notre dame governor said new jersey teachers average work 180 days year get 60 000 salaries new jerseys school year averages 185 days average teacher salary state 65 130 christie bit numbers much,4,1
arizona law basically parrots federal immigration law,comes talked parts law aliens fail carry proper paperwork failing register ganley correct core law federal statutes already makes two provisions crime law also includes new prohibition barring picking day laborers street hire soliciting work thats federal code,4,1
one person kathleen sebelius going determine whether 10yearold lung patient sarah murnaghan would live die,limbaugh said one person kathleen sebelius going determine whether 10yearold lung patient sarah murnaghan would live die essentially serving onewoman death panel however person entity existing rules medical experts federal judge also played role murnaghans case addition sebelius didnt power grant revoke life many factors including availability suitability organs ultimately determine likelihood survival,2,0
phoenix arizona im told 2 kidnapping capital world right behind mexico city,joe lenski executive vice president edison media research says gained 18 percentage points among independent voters 2000 2006 even better 15point gain among moderates others also attribute increase fact mrs clinton wellknown incumbent weak republican challenger also advantage national wave fueled unpopularity president bush republicanled congress propelled democrats nationwide 2006 helped regain control u house u senate mrs clinton may able count moving independents elsewhere,1,0
bernie sanders said hillary clinton voted virtually every trade agreement cost workers country millions millions jobs,late show stephen colbert asserted ryan shut cspan cameras democrats started sitin ryan didnt order cameras shut response protest turned house republicans declared house session recess thats standard policy congress even republicans making decision,3,1
president obama border patrols border security deployed border previous president,mcconnell said obama called last two supreme court appointments moderate president didnt use word use language characterizes liked sides,4,1
price gasoline 185 gallon president barack obama took office since nearly doubled policies,war vietnam escalated taxes increased since start war terrorism taxes gone first bush obama comment ruling go nj com,2,0
wisconsin state assembly chambers extend bathroom parlor rules allow members vote member chambers,hes correct thats part story kleefisch said depends interpret rule rules clear chamber dont specifically allow voteforyour neighbor approach however longstanding informal tradition body,4,1
taking executive action immigration president obama stated 22 times authority change immigration laws,overstates actual underlying report would accurate say study showed higher risk losing many points iq test person necessarily would fundamentally equally reputable analysis found iq loss could tied household incomes much marijuana use clearly scientific consensus yet emerge marcus ignored ongoing debate,4,1
obamacare prevents florida regulating insurance,released press trying pass real abc news fact took responsibility imprecision story hayes weekly standard says one tried misrepresent summaries leaked actual emails democrats failed prove thats case,0,0
youve seen going 700 million surplus getting next biennium almost 750 million deficit,stones airport proposal would created quasipublic governance structure mitchell international airport significant change sure approach stopped far short turning airport private concern even leading union official milwaukee county employees says calling plan privatization overshoots runway,3,1
city milwaukee uses building inspection area revenue base,bottom line every recent poll shows clinton clearly ahead trump polls favor trump old mostly superseded newer surveys showing clinton pulled ahead,1,0
war drugs led 500 percent increase incarceration country disproportionately affecting poor disproportionately affecting minorities,booker said 40year war drugs led 500 percent increase incarceration country disproportionately affecting poor disproportionately affecting minorities booker numbers right looking incarcerated population growth past 40 years hard conclusively attribute rapid rise war drugs many experts believe major factor primary factor minorities disproportionately represented prison population slightly dated research indicates poor people well evidence seems show black people likely arrested drug crime white people despite equally likely use less likely sell drugs,4,1
state lawmakers spending taxpayer money parking billionaire arthur blank could build paying state employees little food stamps,debate likely continue brooks questioned whether parking deck state priority state employees food stamps working two jobs,3,1
economic sanctions iran suffering 30 percent inflation 20 percent unemployment,romney good reason say massachusetts nations best schools although theres yardstick comparing quality schools state several measures including test results federal standardized test right said experts unanimous heralding massachusetts nations education leader education week given state high marks given top distinction maryland past four years,4,1
